battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
1356,1,2.7,0,11,0,25,0.6,97,7,0,445,1697,3366,12,14,2,1,0,1,2
974,1,0.5,0,19,1,24,0.4,156,2,9,1137,1964,3301,11,3,3,1,1,0,3
1582,1,1.4,1,0,0,49,0.7,194,8,20,1715,1065,3021,12,3,5,1,1,1,3
1010,1,0.6,1,16,0,11,0.7,84,7,0,705,719,438,8,14,14,0,1,1,0
1999,1,1.5,0,12,1,55,0.4,99,5,5,195,1917,2948,12,5,17,1,1,1,3
1199,0,1.8,0,0,0,42,0.8,145,5,6,859,1271,285,17,4,6,0,0,1,0
1475,0,1.8,0,9,1,42,0.7,154,4,16,1760,1718,1667,10,11,11,0,0,0,2
689,0,0.9,1,14,1,50,0.7,141,3,8,1866,908,1022,7,6,18,0,0,0,0
1457,1,2.1,1,6,0,18,0.6,173,6,6,1346,970,3470,17,2,12,0,1,0,3
1186,0,0.6,0,17,1,50,0.1,175,3,16,1959,1870,870,12,6,6,1,1,0,1
1457,0,2.4,1,15,0,57,0.7,111,6,2,1796,1985,3746,17,11,16,0,0,1,3
1062,1,2.9,0,13,0,45,0.4,137,4,15,1535,1584,1260,11,14,5,0,0,0,1
1767,1,1.3,0,17,1,46,0.9,129,2,4,627,665,2377,14,5,8,0,0,0,2
1331,1,1.8,0,6,1,31,0.8,117,8,19,980,1171,3382,9,7,11,1,0,0,3
1654,0,1.4,0,16,1,45,0.6,134,7,17,1685,1674,3265,15,5,5,1,0,0,3
1146,0,0.5,1,17,0,47,0.3,107,3,0,629,610,3899,8,2,6,1,0,1,2
520,1,1.5,1,11,1,11,0.3,153,6,3,1188,1048,279,5,4,6,0,1,1,0
1340,1,2.5,0,7,0,56,0.4,165,3,10,1275,1526,3349,14,8,12,0,1,1,3
666,0,2.0,1,1,0,20,0.5,198,2,19,1802,1536,2731,7,15,20,1,0,1,2
1797,0,0.8,1,6,1,30,0.4,160,7,8,43,1685,1311,6,15,6,1,1,0,1
887,1,2.6,0,3,1,3,0.6,101,1,7,1493,843,3166,12,8,9,0,1,1,2
1100,1,1.8,1,17,1,37,0.2,122,6,7,488,1972,2642,18,17,8,1,0,0,2
815,0,2.6,0,5,0,20,1.0,162,8,4,180,831,2226,12,12,9,0,0,0,0
513,1,2.0,0,8,1,8,0.2,160,1,11,1100,763,2260,16,10,14,1,1,0,0
741,0,1.9,0,8,0,27,0.9,167,4,0,373,582,1794,9,9,6,0,1,0,0
1276,0,0.8,0,13,1,16,0.9,115,7,14,627,1276,2815,18,9,19,0,1,1,2
1869,0,0.9,1,7,1,48,0.6,175,5,17,956,1423,3397,9,5,10,0,0,1,3
1064,0,2.9,0,18,0,57,0.8,199,3,5,66,833,927,15,15,3,1,1,0,0
1397,1,1.1,1,2,0,39,0.5,189,6,9,1548,1903,3415,8,11,17,1,0,1,3
1863,1,2.9,0,17,1,4,0.7,131,8,13,1115,1742,3180,5,3,15,0,0,1,3
591,0,1.8,0,4,1,39,0.4,115,3,20,1781,1157,826,5,4,18,1,1,0,0
1890,0,0.8,1,13,1,64,0.4,107,4,7,778,953,1019,17,1,7,0,0,0,1
1455,0,0.7,0,3,1,17,0.6,157,4,2,650,1172,1498,10,0,4,1,0,1,0
1978,0,1.0,1,6,1,3,0.5,137,3,18,1876,1240,968,8,3,18,1,0,0,1
1951,0,2.8,1,19,0,32,0.6,115,6,11,1267,1612,2892,8,11,14,0,1,1,3
1008,1,1.5,0,11,0,29,0.4,149,8,11,340,832,1022,7,1,7,1,1,0,0
1275,1,1.5,0,1,0,8,0.4,88,7,14,902,809,2038,18,11,9,1,1,0,1
534,1,1.3,0,10,0,31,0.2,100,2,6,1808,1226,1549,13,15,7,0,0,0,0
705,1,0.9,0,13,1,44,0.1,143,7,3,1327,1943,3122,7,1,17,0,1,0,2
1604,0,1.7,0,15,0,59,0.3,155,2,20,397,853,1930,12,16,7,0,0,1,2
1911,0,0.8,0,19,0,63,0.2,140,8,8,702,1323,2381,6,1,18,0,1,1,3
1525,0,2.6,1,5,0,8,0.2,173,5,15,1471,1623,3919,8,3,4,1,0,1,3
1521,0,1.4,1,3,1,37,0.8,174,7,12,96,644,2313,5,5,13,1,1,1,1
1913,0,1.4,0,14,0,30,0.1,119,8,3,1354,1533,1747,15,6,7,0,1,0,2
1065,1,1.7,1,0,1,25,0.7,135,3,8,1228,1567,1615,9,14,8,1,0,0,1
1629,0,1.6,1,6,0,53,0.3,83,3,20,448,1909,891,6,11,12,0,0,1,1
1202,1,3.0,0,11,1,40,0.9,110,6,17,1441,1409,1465,15,4,10,0,1,1,1
901,1,1.9,0,9,0,5,0.5,106,3,14,1672,1260,3873,17,13,17,0,1,1,3
1229,1,0.7,1,4,1,30,0.4,137,6,14,76,994,3448,5,15,6,1,0,1,2
661,1,2.0,0,11,0,45,0.6,104,8,5,895,1692,2895,5,10,16,1,1,1,2
701,0,0.9,1,17,1,6,0.4,148,3,10,548,1141,3021,6,11,5,1,0,0,1
1495,1,0.6,0,9,1,56,0.6,149,4,7,797,1030,2868,9,16,6,0,0,1,2
769,1,2.9,1,5,0,30,0.2,84,1,20,1448,1859,1947,16,6,8,0,0,1,2
1315,1,2.4,1,11,1,63,1.0,194,8,16,1452,1012,1553,13,8,4,1,0,0,2
1794,0,3.0,1,6,1,31,0.5,170,3,16,1508,629,2713,10,13,5,1,0,0,3
955,0,1.7,1,17,0,30,0.4,87,1,17,814,1507,613,16,11,16,1,0,1,0
1985,0,1.8,0,1,0,27,0.7,88,2,3,1021,1773,1926,8,14,3,1,0,1,2
1775,1,0.9,0,9,1,20,0.4,94,5,14,134,1233,2401,7,11,6,0,0,1,2
1516,1,1.1,1,14,0,27,0.8,179,7,1,653,1446,1262,12,12,8,1,0,0,0
795,0,2.6,1,11,0,38,0.5,184,7,1,1277,1661,496,7,8,18,1,0,1,0
1219,1,1.4,0,16,0,28,0.7,86,8,9,1583,1798,2860,5,6,9,0,0,1,3
837,0,2.6,0,3,1,31,0.2,175,2,2,1278,1501,3014,8,0,10,1,0,0,2
1378,0,2.3,1,6,1,52,0.9,151,3,7,645,963,2082,15,9,11,1,0,0,1
1576,1,0.9,1,8,1,54,0.8,190,7,19,1825,640,3441,17,5,12,1,0,0,3
1291,1,1.8,1,18,1,31,0.3,194,6,6,719,1779,3814,9,14,2,0,0,0,3
716,1,2.2,1,6,1,4,0.2,94,2,11,1522,1381,1520,9,14,16,0,0,1,0
1263,1,1.1,1,1,1,60,0.4,116,4,18,612,955,411,9,8,9,1,1,0,0
687,0,2.6,0,5,1,59,1.0,162,1,14,483,933,607,12,12,20,0,1,0,0
879,0,1.9,1,17,0,44,0.3,118,6,13,1069,672,299,12,0,13,1,0,0,0
992,0,0.9,0,5,1,8,0.5,85,7,15,1466,972,2895,16,8,7,1,1,1,2
1564,0,2.0,0,12,1,62,0.1,162,6,13,1605,1946,3639,17,2,11,0,1,0,3
1680,0,3.0,0,18,0,50,0.5,136,3,2,647,1519,393,8,8,6,1,1,1,0
514,1,0.9,1,1,0,58,0.6,171,4,17,791,1416,3990,13,14,8,0,0,0,3
564,0,2.5,0,11,0,10,1.0,160,1,5,578,938,2223,5,6,8,0,0,1,0
1020,0,1.0,0,14,1,54,0.6,185,4,16,1027,1515,2739,9,3,10,0,0,1,3
1867,0,2.5,0,13,0,42,0.8,98,2,13,1759,1580,1009,9,16,16,1,1,1,2
1652,1,2.3,0,5,1,43,0.6,142,3,13,0,997,398,9,3,7,1,1,0,0
1147,1,1.3,1,17,1,14,0.1,110,6,19,1313,668,3327,12,4,17,1,0,1,3
1995,1,1.3,1,4,1,16,0.4,154,6,12,108,1488,2102,13,15,8,1,1,0,2
1586,1,2.5,0,17,0,55,0.6,158,2,2,1800,1060,3626,7,2,16,0,1,0,3
1662,0,1.7,0,2,0,64,1.0,89,6,12,1598,927,3889,13,10,3,1,0,1,3
1092,0,2.3,1,2,1,6,0.9,186,5,1,459,918,2565,17,14,9,1,1,0,0
891,1,0.9,1,9,1,30,0.3,166,3,8,265,1870,2815,15,13,13,0,1,1,2
918,1,2.6,1,18,1,36,0.3,146,2,12,1161,954,2976,12,15,12,0,0,0,2
788,0,2.3,0,2,0,28,0.3,141,3,7,1457,1213,317,7,5,7,1,1,1,0
878,0,2.8,1,11,1,28,0.9,82,1,15,43,701,1846,6,4,14,0,0,0,0
730,1,0.8,0,15,0,9,0.9,97,3,2,885,678,1702,8,16,17,1,0,1,0
1517,1,2.0,0,16,1,33,0.8,104,3,12,1533,556,1675,17,15,9,1,0,0,1
540,1,2.0,1,6,0,21,0.5,186,1,3,943,1445,2275,16,1,18,0,0,0,0
1551,1,1.4,0,12,1,11,0.6,99,2,17,982,1000,2334,6,10,14,0,0,1,2
634,0,1.6,1,1,0,14,0.5,137,3,1,261,1238,3657,8,3,5,1,0,0,1
700,0,0.6,0,3,0,64,0.3,172,4,19,727,611,3252,9,5,11,1,0,0,2
1279,0,2.4,1,9,0,30,0.6,165,3,20,632,1671,3105,6,6,17,1,1,1,3
1429,1,1.9,0,6,0,36,0.1,129,2,14,151,1214,1448,16,16,18,1,0,1,1
1556,1,0.6,0,16,0,62,0.2,158,8,16,212,1901,2569,12,7,9,1,1,1,3
1571,0,2.2,1,19,0,55,0.9,182,6,9,1015,1376,2611,5,0,12,0,1,1,3
1002,0,1.7,1,5,1,9,0.8,89,7,0,1257,1871,2762,7,14,6,1,0,1,1
906,0,0.6,1,18,1,30,0.5,100,1,5,862,1881,3512,11,11,17,0,1,0,2
1304,0,2.9,1,4,1,32,0.6,198,6,2,622,1579,589,14,14,9,0,0,1,0
598,1,2.9,0,9,1,42,0.4,195,2,18,360,1312,2818,5,14,17,0,0,0,2
1183,0,1.8,1,8,0,31,0.8,108,5,6,319,1839,2744,17,8,5,1,0,0,2
1225,0,0.7,1,12,1,23,0.8,175,7,12,221,1463,2976,15,15,7,1,0,0,2
1460,0,2.4,0,18,0,22,0.8,89,6,12,1761,1708,2694,6,1,9,0,0,0,3
1112,0,1.7,1,5,0,13,0.8,92,3,16,209,1577,2051,7,14,10,0,0,0,1
1985,0,1.3,1,3,0,12,0.3,126,7,0,1419,536,3238,18,14,14,0,1,1,2
1142,0,1.7,0,2,1,3,0.4,102,3,13,930,1512,2863,18,6,18,0,1,1,2
1528,0,1.8,1,2,0,51,0.5,129,1,2,1606,1793,509,6,12,10,0,1,1,1
1741,1,1.9,1,3,1,42,0.4,166,3,13,488,1362,3913,6,16,14,1,1,1,3
1002,1,1.6,1,4,1,3,0.8,174,7,0,1895,1231,3662,16,10,10,0,1,1,2
1266,1,2.0,1,7,1,35,0.4,83,4,15,600,1751,1679,15,9,7,1,0,1,1
897,1,2.8,1,15,1,4,0.2,195,4,9,773,1951,3493,10,0,11,0,1,0,2
1370,0,1.4,1,2,1,17,0.5,192,8,12,877,1309,3587,11,13,6,0,0,1,3
1294,1,2.3,0,11,0,52,1.0,146,6,3,1487,1524,1283,10,4,8,1,0,1,1
892,1,2.7,1,7,0,5,0.3,164,2,8,699,522,2167,15,7,12,1,0,1,0
706,0,1.6,0,12,1,24,0.7,132,8,13,1647,1971,2422,10,0,10,0,0,1,2
1538,0,1.6,0,3,0,58,0.5,81,1,3,451,1295,1251,13,6,11,1,0,1,1
1391,1,2.0,0,13,1,51,0.2,147,5,9,412,995,725,12,1,12,1,0,0,0
1984,1,2.0,0,13,0,21,0.5,144,8,7,1957,1399,1749,18,6,4,0,0,0,2
1363,0,2.5,1,12,0,26,0.7,158,6,2,1774,924,3088,12,6,9,0,1,0,2
1242,1,1.7,1,5,0,31,0.6,136,2,6,475,1199,3820,10,8,18,0,0,1,3
1764,0,3.0,1,16,0,19,0.9,176,1,9,255,517,2143,9,3,8,1,0,1,1
1063,0,0.6,0,3,0,43,0.4,149,7,2,1173,1968,1779,13,6,13,0,1,1,1
1520,0,0.5,1,7,0,12,0.2,86,1,1,126,1126,1349,16,17,17,0,1,0,0
595,0,2.1,1,16,0,30,0.9,98,7,14,391,1562,949,6,12,16,1,0,0,0
984,1,1.2,1,2,0,18,0.4,123,6,8,1854,1733,3168,11,10,14,0,1,1,3
1930,0,1.1,0,16,0,27,0.6,142,2,14,479,710,3079,10,8,19,1,0,1,3
730,0,1.3,0,8,0,57,0.8,144,8,16,992,1064,1649,11,13,19,1,0,0,1
1248,1,1.1,1,1,0,58,0.4,118,2,6,1420,1471,2300,16,7,6,0,0,0,2
1694,0,0.6,0,12,0,24,0.7,162,3,19,922,1804,436,8,13,15,1,0,0,1
1040,1,2.9,0,19,0,57,0.2,188,5,17,401,632,3332,13,16,12,1,1,1,3
1559,1,1.1,1,1,1,53,0.4,105,4,14,273,948,1476,11,13,4,0,1,0,1
1024,1,2.3,0,19,0,49,0.2,123,3,17,844,763,302,6,4,18,1,1,1,0
1683,0,2.4,0,10,0,21,0.8,91,1,11,1933,610,3879,17,9,13,0,0,1,3
1766,1,2.8,1,14,0,46,0.3,101,5,20,138,1349,889,8,5,4,0,0,1,1
1609,1,0.6,0,10,0,3,0.7,156,5,7,102,1761,3974,9,9,3,0,1,0,3
1077,0,2.7,0,2,0,25,0.9,171,2,1,1265,1980,1419,6,10,5,0,1,0,0
1181,1,1.8,0,2,0,32,0.6,93,5,1,1140,1400,1944,14,5,19,0,0,0,1
1056,1,2.1,0,11,1,28,0.6,165,6,4,1237,1258,1819,12,9,15,1,1,0,1
1512,1,2.1,0,4,1,3,0.5,109,5,0,483,1360,1706,5,13,9,1,1,1,0
1145,1,2.5,0,19,1,58,0.4,123,1,3,528,1396,844,7,2,3,1,0,1,0
1295,1,1.3,0,6,0,15,0.5,163,6,5,1714,1361,3888,18,6,20,0,1,1,3
1551,0,2.3,0,6,0,5,0.6,187,6,12,223,1696,2133,5,1,11,0,0,1,1
1863,1,1.8,1,12,0,50,1.0,170,3,18,1293,692,2613,9,6,6,0,1,0,3
1854,1,2.5,1,8,1,14,0.9,117,5,10,1848,1014,2577,12,16,12,0,1,1,2
1871,0,3.0,1,12,0,37,0.9,138,2,12,1884,1289,1818,11,12,10,1,0,0,2
1996,0,1.0,1,11,0,36,0.9,121,7,7,1157,1467,1095,13,8,17,1,0,1,1
1754,0,3.0,0,12,1,45,0.5,131,3,6,113,1932,1669,6,12,6,0,0,0,1
689,1,0.7,1,9,1,55,0.7,142,2,12,1464,583,2762,16,14,16,0,0,1,2
1748,0,0.5,1,0,0,56,0.9,140,5,0,643,1297,988,12,12,15,0,0,1,0
1908,1,0.6,0,7,0,9,0.5,199,3,5,650,579,3961,12,16,10,1,0,0,3
1900,1,1.4,0,15,0,3,1.0,184,5,6,1388,1732,2664,18,7,6,1,1,1,2
1806,0,2.1,0,12,0,7,0.5,113,1,15,1255,1021,1273,10,8,16,0,1,0,1
1132,0,0.7,0,2,1,32,0.6,118,3,14,457,1722,3396,7,8,10,0,0,1,3
1127,1,0.5,0,2,0,55,0.7,120,2,19,374,733,3910,6,7,5,1,0,0,3
1472,0,2.8,1,4,0,11,1.0,187,1,1,1627,743,2965,18,15,5,1,0,0,2
1782,1,2.6,0,10,1,45,0.3,116,4,15,1802,1916,3002,12,6,8,0,1,0,3
1882,0,2.5,1,6,0,22,0.8,144,2,16,610,1969,1710,10,16,16,0,1,0,2
1209,0,2.7,1,9,0,43,0.6,197,7,14,206,1348,3188,8,6,18,0,1,1,2
1979,0,2.3,0,9,1,11,0.3,158,8,2,1543,892,1013,9,5,19,1,1,0,0
1934,1,0.8,1,19,1,24,0.8,111,5,3,1491,508,3359,9,4,8,0,0,0,3
1148,0,1.5,1,1,0,4,0.6,87,2,11,1905,1112,2258,17,16,20,1,1,0,1
817,1,2.3,0,2,1,33,0.7,176,4,4,1466,1306,876,13,7,11,0,1,0,0
1748,1,1.2,1,7,1,21,0.4,97,2,16,916,1214,2144,17,0,14,0,1,1,2
1757,1,2.2,1,10,0,11,0.5,124,1,5,320,1676,3840,17,15,3,0,0,0,3
1183,1,0.6,1,12,1,30,0.7,172,6,9,92,609,437,13,16,12,1,1,1,0
1163,0,1.3,0,6,0,42,0.5,175,8,17,1431,1333,2989,12,2,6,0,0,1,3
1897,1,1.9,0,12,0,53,0.3,112,2,9,1181,765,2984,12,12,7,1,1,0,3
1995,1,2.1,0,1,0,52,1.0,84,3,5,871,1896,2551,16,7,4,0,1,0,3
1756,0,1.9,1,5,0,47,0.6,161,7,5,98,1675,2923,6,15,2,1,1,0,2
1636,1,2.2,0,8,1,35,0.8,191,4,19,224,1475,1576,18,6,4,0,0,0,1
941,0,0.5,1,19,0,38,0.5,153,2,14,851,1454,2055,7,14,4,1,1,1,1
1063,1,0.8,0,1,0,21,0.4,115,4,3,440,1938,2333,18,1,5,0,1,1,1
1791,0,2.7,1,17,0,62,0.5,176,6,15,719,1406,1581,12,1,8,1,0,0,2
1909,1,2.2,0,15,0,62,0.5,102,1,7,584,1849,1755,17,9,16,1,1,0,2
1910,0,0.8,0,11,1,9,0.6,119,3,6,1424,1171,3176,9,4,12,0,1,1,3
1636,1,2.6,1,6,1,8,0.6,84,5,18,1594,675,1203,11,3,19,1,1,1,1
1451,1,1.1,0,6,1,7,0.5,113,2,16,1822,1024,1631,18,14,13,1,1,0,1
1604,0,1.7,1,16,0,12,0.2,103,1,20,63,1838,1240,12,12,5,0,1,0,1
1198,0,0.9,0,12,1,45,0.5,96,8,12,767,1590,3809,10,16,12,1,0,0,3
612,0,2.3,0,10,1,19,0.3,174,4,14,559,1451,2620,9,0,7,0,1,0,1
501,0,2.2,1,5,0,52,0.2,150,6,1,1302,1707,3040,12,17,20,0,1,0,2
1141,1,1.0,1,13,1,43,0.9,160,7,9,1733,1558,1676,5,14,19,1,0,0,2
719,1,2.7,1,5,0,58,0.6,171,4,12,669,1004,3416,5,13,16,1,0,1,2
1354,0,1.5,0,5,1,30,0.7,181,7,17,1846,1348,3561,5,8,4,1,1,1,3
1748,1,1.2,1,1,1,26,0.5,101,6,10,1542,1462,2471,7,11,18,1,1,1,3
884,0,0.9,0,19,1,64,0.9,94,7,12,1271,1599,3046,14,4,2,1,1,1,3
1926,0,1.2,1,14,1,22,0.7,180,6,18,367,971,381,17,1,3,0,0,0,0
1653,1,0.6,1,16,0,47,0.8,94,1,4,743,1022,2876,16,6,20,0,1,0,2
1576,1,2.0,1,7,0,4,0.4,193,2,2,617,1379,375,10,8,10,1,0,1,0
1229,1,2.6,1,4,1,19,1.0,193,5,18,1005,1806,1707,10,17,9,1,0,0,1
1939,1,1.9,1,16,0,25,0.8,104,2,12,1121,773,1264,9,3,13,1,0,0,1
746,1,1.0,1,19,1,48,0.9,132,8,4,1291,553,1469,17,1,16,1,1,0,0
1335,1,0.6,0,0,1,39,0.3,100,8,11,1083,1578,3960,17,0,8,1,1,1,3
1962,1,1.0,1,17,1,11,0.3,198,3,13,499,1387,1707,18,11,17,0,1,1,1
702,0,1.5,0,14,1,28,0.4,181,2,5,1331,1244,2863,11,12,8,0,0,1,1
1707,0,2.4,1,4,1,13,0.3,145,6,8,1516,776,3529,9,13,13,0,1,1,3
622,0,1.0,1,6,1,8,0.9,170,6,16,1006,1966,3386,18,4,18,1,1,1,2
900,0,2.3,1,17,0,18,0.1,192,3,7,410,1382,952,6,2,12,1,0,1,0
1266,0,2.7,0,5,0,2,0.2,111,4,12,1017,1941,2526,8,3,5,1,0,1,2
793,1,1.6,0,4,1,59,0.3,100,6,4,1163,1131,1771,5,16,20,0,0,0,1
779,0,2.6,1,18,0,51,0.3,147,3,16,1932,1748,1290,11,10,3,0,0,1,1
1383,0,1.9,0,9,1,27,0.3,123,6,2,1351,1069,3096,8,7,3,0,0,0,2
697,0,2.1,1,14,0,16,0.8,162,5,5,463,1778,1791,17,11,18,0,1,0,0
1481,0,1.8,1,9,0,52,0.6,145,6,13,701,675,1069,8,17,10,1,0,1,1
1251,0,1.7,0,15,0,61,0.1,169,1,14,1660,1065,565,17,17,2,1,1,0,1
643,0,1.1,0,11,1,34,0.5,177,3,13,1948,1669,1267,8,8,11,1,0,0,1
1108,0,1.3,0,17,0,63,0.5,93,7,10,162,1270,3052,7,4,16,1,1,1,2
1724,1,1.2,0,0,1,38,0.2,94,8,10,59,1908,1313,12,16,16,1,1,0,1
1647,1,1.9,1,15,1,48,0.7,99,2,8,1948,761,1274,8,12,3,1,0,1,1
686,0,0.8,0,5,1,32,0.7,113,3,5,1054,1030,3667,12,5,15,0,0,0,2
1849,1,2.8,0,2,0,36,0.7,115,4,14,332,1894,3974,13,13,5,1,1,0,3
963,1,2.3,1,1,0,2,0.8,162,6,11,75,1390,2784,5,14,19,1,0,0,1
1872,1,1.5,0,1,0,9,0.1,88,3,5,1778,1720,2877,8,13,10,1,0,0,3
1159,1,0.9,0,12,1,13,1.0,150,5,0,316,1447,1080,10,3,3,1,0,1,0
1263,0,2.7,0,8,1,60,0.8,109,3,15,1793,1084,2300,12,17,3,1,0,1,3
1454,1,2.6,0,15,0,55,0.9,156,5,19,1440,1314,1372,18,0,19,1,0,1,2
902,1,2.3,1,4,1,58,0.1,170,8,14,189,1807,883,10,11,18,1,0,0,0
1869,1,1.2,1,6,0,20,0.9,142,8,1,1512,801,1412,16,8,10,1,0,0,1
646,0,1.5,0,12,0,26,0.8,187,6,16,1912,1655,3147,10,9,9,0,0,0,3
1671,0,0.8,0,19,0,58,0.9,114,2,2,1338,1643,1244,14,17,3,0,1,0,1
1363,0,1.0,1,12,0,33,0.2,92,6,2,295,1659,2722,8,16,3,0,1,1,2
988,0,2.5,0,6,1,64,0.8,158,4,4,500,1127,1747,13,3,6,1,0,0,1
1428,0,2.3,0,9,0,13,1.0,125,1,16,176,1072,2084,11,15,13,0,0,1,1
1050,0,2.0,0,14,0,64,0.7,135,2,16,799,1028,3771,18,6,17,1,1,0,3
837,0,2.7,0,5,0,14,0.6,88,2,19,805,533,2333,15,8,15,0,0,0,1
1371,1,2.0,0,4,0,29,1.0,188,8,5,859,1031,2248,10,7,3,0,0,1,1
1140,1,1.7,0,1,0,2,0.5,166,1,0,1742,1731,2601,5,6,9,1,0,1,1
972,1,1.4,0,14,0,52,0.6,197,3,6,214,1822,1340,6,9,5,1,0,1,0
650,0,2.9,0,15,0,7,0.5,115,6,14,1879,1617,2761,16,7,10,1,1,1,2
1938,0,0.7,0,18,1,9,0.9,196,3,6,652,1937,2607,10,16,20,1,0,0,2
1821,0,2.8,1,8,1,5,0.2,183,3,18,596,870,3261,15,11,3,0,1,1,3
762,0,2.6,1,18,1,6,0.6,82,6,19,1717,908,595,5,13,17,0,0,1,0
643,0,0.8,1,6,1,26,0.7,177,4,10,1355,1906,2751,15,11,12,1,1,0,2
845,1,1.9,0,3,0,23,0.8,98,2,13,127,1964,2115,9,1,9,0,1,0,1
1123,1,2.7,0,2,1,29,0.6,107,5,12,1292,1970,1581,5,11,13,0,1,0,1
1516,0,1.9,1,19,1,40,0.9,102,1,19,550,1116,3184,17,13,4,0,0,0,3
1380,0,2.8,0,10,1,24,0.9,183,2,8,1558,570,2843,7,6,14,1,0,1,2
501,0,2.9,1,0,0,5,0.2,192,3,8,1777,583,2788,16,12,3,1,0,1,1
1396,0,1.6,0,5,1,53,0.5,188,1,15,1389,708,332,16,3,14,1,1,0,0
1827,1,1.4,1,10,1,5,0.1,86,5,11,618,758,1912,16,0,9,0,0,1,1
753,0,2.8,1,0,0,63,0.4,184,2,9,347,1762,2818,11,16,16,1,0,1,2
952,0,2.2,1,6,1,48,0.6,155,2,5,141,1825,1828,9,2,10,1,1,0,1
1560,0,0.8,0,5,0,60,0.9,93,4,17,1168,1755,3247,16,16,12,0,0,1,3
1683,0,0.6,1,13,1,22,0.9,125,2,1,791,1431,2962,14,7,4,1,1,1,2
1514,1,1.9,0,1,0,38,0.2,94,2,19,244,781,347,5,2,8,1,0,0,0
508,0,2.8,0,3,1,57,0.2,146,5,8,1465,893,2130,5,9,15,1,1,1,1
1756,0,2.6,0,10,1,42,0.6,94,5,18,702,917,721,12,1,16,0,1,1,1
1622,1,2.2,0,14,1,3,0.6,130,1,5,1313,1729,2769,15,3,10,1,1,0,2
1315,1,0.8,0,17,0,60,0.3,167,3,1,1714,1787,3926,18,13,12,0,1,1,3
707,1,1.1,0,0,1,8,0.9,195,5,14,1135,1834,3367,17,10,8,0,1,0,2
1654,0,2.7,0,2,0,50,0.9,189,1,16,213,1358,2993,13,13,13,0,1,0,3
